Czynność,Gdzie,Polecenie
,PrzydzielonyHost,echo $(pwd)
,PrzydzielonyHost,docker run -it --workdir /home alpine
,PrzydzielonyHost,docker run -v $(pwd):/data python:3.10-alpine python /data/myscript.py
,PrzydzielonyHost,alias python='docker run -v $(pwd):/data --workdir /data python:3.10-alpine python'
,PrzydzielonyHost,python myscript.py
,PrzydzielonyHost,unalias python
Docker - montowanie wolumenów,PrzydzielonyHost,clear
,,
,-,Gitea - Instalacja
,PrzydzielonyHost,sudo mkdir /home/gitea
,PrzydzielonyHost,sudo chmod 777 /home/gitea
,PrzydzielonyHost,"docker run \
    --name gitea \
    --detach \
    --rm \
    --env USER_UID=1000 \
    --env USER_GID=1000 \
    --network ecosystem \
    --publish 3000:3000 \
    --publish 2222:22 \
    --volume /home/gitea:/data \
    --volume /etc/timezone:/etc/timezone:ro \
    --volume /etc/localtime:/etc/localtime:ro \
    gitea/gitea"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- http://$PRZYDZIELONE_IP:3000/"
,Gitea,"Ustaw opcje konfiguracyjne:
- SSH Server Domain: $PRZYDZIELONE_IP
- Gitea Base URL: http://$PRZYDZIELONE_IP:3000/"
,Gitea,"Rozwiń sekcję ""Administrator Account Settings"" [na samym dole] i wpisz:
- Username: root
- Password: abcdefghi
- Email: admin@example.com"
,-,Gitea - Zakładanie projektu
,Gitea,"Kliknij ikonę ""+"" [prawy górny róg]
- ""New Migration""
- Wybierz ""GIT"" [pierwszy kafelek po lewej u góry]
- ""Migrate / Clone From URL"" wpisz https://github.com/sages-pl/example-helloworld-java.git
- Wszystkie pozostałe opcje pozostaw domyślne
- Przycisk Migrate Repository [zielony na dole]"
,PrzydzielonyHost,sudo mkdir /home/src
,PrzydzielonyHost,sudo chmod 777 /home/src
,PrzydzielonyHost,"git clone http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java.git /home/src/java
- username: root
- hasło: abcdefghi"
,-,GitLab - Instalacja
,PrzydzielonyHost,docker network create ecosystem
,PrzydzielonyHost,sudo mkdir -p /home/gitlab
,PrzydzielonyHost,sudo chmod 777 /home/gitlab
,PrzydzielonyHost,"docker run \
    --name gitlab \
    --detach \
    --rm \
    --network ecosystem \
    --publish 8022:22 \
    --publish 8000:80 \
    --publish 8443:443 \
    --volume /home/gitlab/config:/etc/gitlab \
    --volume /home/gitlab/logs:/var/log/gitlab \
    --volume /home/gitlab/data:/var/opt/gitlab \
    gitlab/gitlab-ce:latest"
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,docker logs gitlab
,PrzydzielonyHost,"docker logs -f gitlab

# Aby wyjść z trybu logów naży wcisnąć `ctrl+c`"
,PrzydzielonyHost,"docker exec -it gitlab grep 'Password:' /etc/gitlab/initial_root_password

# Skopiuj hasło"
,-,GitLab - Zakładanie projektu
,Przeglądarka,"Otwórz stronę w przeglądarce:
- http://$PRZYDZIELONE_IP:8000/
- username: root
- hasło: abcdefghi"
,GitLab,"1. New Project (niebieski przycisk u góry po prawej)
2. Import project (trzecia zakładka od lewej)
3. Repo by URL (drugi w dolnym rzędzie)
4. Git repository URL: https://github.com/sages-pl/example-helloworld-java.git
5. Username i password zostawić puste
6. Project name i project slug ma być domyślny
7. Visibility Level: Private
8. Create Project"
,GitLab,Powinno wyświetlić się repozytoium z plikami w Gitlabie
,-,Java - Instalowanie zależności
,PrzydzielonyHost,"# Przejdź do katalogu z kodem źródłowym

cd /home/src/"
,PrzydzielonyHost,"# Zaktualizuj definicje pakietów

sudo apt update"
,PrzydzielonyHost,"# Zainstaluj zależności projektu

sudo apt install -y openjdk-8-jdk maven"
,PrzydzielonyHost,"# Wybierz wersję Java 8, tj. opcja numer 2 ze ścieżką
# ""/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java""

sudo update-alternatives --config java"
,PrzydzielonyHost,"java -version

# Powinno się wyświetlić:
# openjdk version ""1.8.0"""
,-,Java - Budowanie projektu
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"mvn compile

# Uruchom proces budowania
# Przy pierwszym uruchomieniu może chwilę potrwać
# ściąganie zależności"
,PrzydzielonyHost,"mvn test

# Uruchom testy jednostkowe
# Przy pierwszym uruchomieniu może chwilę potrwać
# ściąganie zależności"
,PrzydzielonyHost,"mvn verify

# Uruchom testy integracyjne
# Przy pierwszym uruchomieniu może chwilę potrwać
# ściąganie zależności"
,-,Jenkins - Instalacja i uruchamianie
,PrzydzielonyHost,https://hub.docker.com/search?q=jenkins&type=image
,PrzydzielonyHost,clear
,PrzydzielonyHost,docker network create ecosystem
,PrzydzielonyHost,docker pull jenkins/jenkins
,PrzydzielonyHost,docker pull jenkins/jenkins:centos
,PrzydzielonyHost,docker pull jenkins/jenkins:alpine
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker run jenkins/jenkins:alpine
,PrzydzielonyHost,docker run -p 8080:8080 jenkins/jenkins:alpine
,PrzydzielonyHost,"Otwórz w przeglądarce:
- http://$PRZYDZIELONE_IP:8080/"
,PrzydzielonyHost,wpisz hasło z terminala pomiędzy gwiazdkami
,PrzydzielonyHost,sudo mkdir -p /home/jenkins
,PrzydzielonyHost,docker run -p 8080:8080 --name jenkins --network ecosystem --rm -v /home/jenkins:/var/jenkins_home jenkins/jenkins:alpine
,PrzydzielonyHost,sudo chmod 777 /home/jenkins
,PrzydzielonyHost,docker run -p 8080:8080 --name jenkins --network ecosystem --rm -v /home/jenkins:/var/jenkins_home jenkins/jenkins:alpine
,Jenkins,"Otwórz w przeglądarce:
- http://$PRZYDZIELONE_IP:8080/"
,Jenkins,Wklej hasło skopiowane z konsoli
,Jenkins,Install Suggested Plugins
,Jenkins,"# https://dev.astrotech.io/jenkins/introduction/good-engineering-practices.html

Create First Admin User
- Username: admin
- Password: abcdefghi
- Fullname: Admin
- E-mail address: admin@example.com

Save and continue"
,Jenkins,"Instance Configuration
- Jenkins URL: [zostawiamy domyślne]"
,Jenkins,"Jenkins is ready!
- Start using Jenkins"
,PrzydzielonyHost,sudo ln -s /home/jenkins /var/jenkins_home
,PrzydzielonyHost,"docker stop jenkins

# Powinno to zamknąć proces Jenkinsa i kontener"
,PrzydzielonyHost,"docker ps

# Powinien nie wyświetlać działającego kontenera Jenkins"
,PrzydzielonyHost,ls -la /home/jenkins
,PrzydzielonyHost,docker run -d -p 8080:8080 --name jenkins --network ecosystem --rm -v /home/jenkins:/var/jenkins_home jenkins/jenkins:alpine
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,docker logs jenkins
,PrzydzielonyHost,docker logs -n5 jenkins
,PrzydzielonyHost,"docker logs -f jenkins
# Następnie wyenterować tyle razy, aby tekst zniknął z ekranu"
,-,Jenkins - Instalacja Blue Ocean
,Jenkins,"[lewe menu]
-> Konfiguracja [Manage Jenkins]
-> Zarządzaj Wtyczkami [Manage Plugins]
-> wybierz zakładkę Dostępne [Available]

(albo przejdź na stronę http://$PRZYDZIELONE_IP:8080/pluginManager/available)"
,Jenkins,"na zakładce dostępne szukamy ""BlueOcean Aggregator"", na końcu listy wyników wyszukiwania"
,Jenkins,"zaznaczamy ""Blue Ocean"" i klikamy przycisk na dole ""Download now and install after restart"""
,Jenkins,"na dole ekranu zaznaczamy opcję ""Restart Jenkins when installation is complete and no jobs are running"""
,Jenkins,po dwóch minutach odświeżamy stronę (jeżeli sama się nie przeładowała) i logujemy się do Jenkinsa
,Jenkins,[lewe menu] -> Back to Dashboard
,Jenkins,"[lewe menu] -> Open Blue Ocean
# Alternatywnie można wejść na stronę http://$PRZYDZIELONE_IP:8080/blue/"
,PrzydzielonyHost,"docker restart jenkins

# Gdyby opcja ""Restart Jenkins"" nie została zaznaczona podczas instalcji
# To trzeba zrestartować kontener ręcznie"
,-,Jenkins - Dodawanie repozytorium w Blue Ocean
,PrzydzielonyHost,clear
,PrzydzielonyHost,history |grep clone
,Jenkins,"Na pop-upie ""Welcome to Jenkins"" -> klikamy ""Create a new Pipeline"" -> i wybieramy GIT"
,Jenkins,"http://$PRZYDZIELONE_IP:8000/root/example-java.git

# WAŻNE jest dodanie `.git` na końcu!!"
,Jenkins,"Create credential: login ""root"", hasło ""abcdefghi""
- kliknąć Create Credential
# ważne aby to zrobić przed Create Pipeline

Upewnij się, że jest zaznaczone:
Use existing credential: root/******
(Git username/password for http://$PRZYDZIELONE_IP:8000/root/example-java.git)

Jeszcze raz upewnij się, że jest `.git` na końcu adresu `Repository URL`

Później kliknij `Create Pipeline`"
,Jenkins,"Powinien wyskoczyć pop-up ""You don't have any branches that contain a Jenkinsfile"""
,-,Jenkins - środowisko uruchomienia
,Jenkins,"# Na pop-upie ""You don't have any branches that contain a Jenkinsfile""
# -> klikamy ""Create Pipeline"""
,Jenkins,"Upewnij się, że nie wyskakuje ""Connecting to GIT""...
Jeżeli jest Connecting to GIT to znaczy, że zrobiłeś literówkę w username, haśle lub nie ma `.git` na końcu"
,Jenkins,"klikamy na plus (na środku ekranu jako ""dodaj stage""),
[po prawej] nazywamy stage ""Environment""
Add Step -> ""shell script"" -> wpisujemy: env
Zwróć uwagę na spacje, wielkość liter i powójne cudzysłowia
[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,-,Jenkins - Konfiguracja budowania (pierwsze kroki)
,Jenkins,"klikamy na plus (na środku ekranu jako ""dodaj stage""),
[po prawej] nazywamy stage ""Build""
Add Step -> ""shell script"" -> wpisujemy: echo ""building...""
Zwróć uwagę na spacje, wielkość liter i powójne cudzysłowia
[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Po 20 sekundach powinno samoczynnie przejść do wyników budowania, jak nie, to odświeżyć stronę"
,Jenkins,Build powinien się udać (to znaczy mieć zielony thick-mark w kolumnie status)
,Jenkins,Kliknij na swojego build i przejdź do ekranu podsumowania budowania
,Jenkins,Rozwiń wszystkie kroki i zobacz co tam jest napisane
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Jenkins - dodawanie kolejnego stage
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Klikamy na plus (na środku ekranu jako ""dodaj stage"" - plus w górnej linijce)
Nazywamy Stage: ""Test""
Add Step -> ""shell script"" -> wpisujemy: echo ""testing...""
Zwróć uwagę na spacje, wielkość liter i powójne cudzysłowia
[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Po 20 sekundach powinno samoczynnie przejść do wyników budowania, jak nie, to odświeżyć stronę"
,Jenkins,Build powinien się udać (to znaczy mieć zielony thick-mark w kolumnie status)
,Jenkins,Kliknij na swojego build i przejdź do ekranu podsumowania budowania
,Jenkins,Rozwiń wszystkie kroki i zobacz co tam jest napisane
,Jenkins,"Zmień stage, przez kliknięcie na inną kropkę na osi ""Pipeline"""
,Jenkins,Rozwiń wszystkie kroki i zobacz co tam jest napisane
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Jenkins - dodawanie kolejnego kroku
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Klikamy na kropkę w stage ""Build""
- wybierz z menu po prawej stronie ""Shell Script""
- Zamiast echo ""building..."" napisz ""mvn compile""
Zwróć uwagę na spacje, wielkość liter i powójne cudzysłowia
[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Powinno samoczynnie przejść do wyników budowania, jak nie, to odświeżyć stronę"
,Jenkins,Build powinien się NIE udać (to znaczy mieć czerwony X w kolumnie status)
,Jenkins,Kliknij na swojego build i przejdź do ekranu podsumowania budowania
,Jenkins,"Przejdź na stage, który się nie powiódł i rozwiń nieudane kroki i zobacz co tam jest napisane"
,Jenkins,"Na końcu drugiej linii nieudanego kroku powinna się znaleźć informacja ""mvn: not found"""
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Jenkins - uprawnienia
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"whoami

# Powinno zwrócić: ubuntu"
,PrzydzielonyHost,"ls -la /home/jenkins/

# Zwróć uwagę na to kto i jaka grupa jest właścicielem plików"
,PrzydzielonyHost,ls -n /home/jenkins/
,PrzydzielonyHost,"id

# Powinno zwrócić:
# uid=1000(ubuntu) gid=1000(ubuntu) groups=1000(ubuntu),4(adm),20(dialout),24(cdrom),25(floppy),27(sudo),29(audio),30(dip),44(video),46(plugdev),117(netdev),118(lxd),998(docker)"
,PrzydzielonyHost,docker exec -it jenkins ash
,Kontener,ps aux
,Kontener,"whoami
# powinno zwrócić `jenkins`"
,Kontener,"id

# Powinno zwrócić:
# uid=1000(jenkins) gid=1000(jenkins) groups=1000(jenkins)"
,Kontener,"ls -la /var/jenkins_home/

# Zwróć uwagę na to kto i jaka grupa jest właścicielem plików"
,Kontener,ls -n /home/jenkins/
,Kontener,exit
,PrzydzielonyHost,cat /etc/passwd |grep 1000
,PrzydzielonyHost,docker exec jenkins cat /etc/passwd |grep 1000
,PrzydzielonyHost,grep root /etc/passwd
,PrzydzielonyHost,docker exec jenkins grep root /etc/passwd
,PrzydzielonyHost,"cat /etc/passwd

# Konta systemowe mają UID poniżej 1000
# Konta użytkowników mają UIC 1000 lub większy"
,PrzydzielonyHost,docker exec -it -u root jenkins ash
,Kontener,"whoami

# Powinno zwrócić:
# root"
,Kontener,"id

# Powinno zwrócić:
# uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
,-,Jenkins - instalowanie zależności na maszynie z Jenkinsem
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"mvn --version

# Wyskoczy informacja, że maven jest i w której werjsi
# To dlaczego w Jenkinsie był błąd, że nie znaleziono mvn"
,PrzydzielonyHost,docker exec -itu root jenkins apk add maven
,Jenkins,"Przejdź na przeglądarkę
- powtórz build - zaokrąglona strzałeczka `Rerun` [w menu u góry]
- Build powinien się NIE udać"
,Jenkins,"Kliknij na swojego build i przejdź do ekranu podsumowania budowania
Przejdź na stage, który się nie powiódł i rozwiń nieudane kroki i zobacz co tam jest napisane

# Linie około 415-417
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.1:compile (default-compile) on project my-app: Compilation failure: Compilation failure:
[ERROR] Source option 5 is no longer supported. Use 6 or later.
[ERROR] Target option 1.5 is no longer supported. Use 1.6 or later."
,PrzydzielonyHost,"docker exec -it -u root jenkins apk search openjdk |sort

# Nazwę paczki można także sprawdzić przez wyszykiwarkę na stronie:
# https://pkgs.alpinelinux.org/packages
# https://pkgs.alpinelinux.org/packages?name=openjdk*&branch=edge
# https://pkgs.alpinelinux.org/contents?repo=community&page=1&arch=x86_64&branch=edge&name=openjdk8"
,PrzydzielonyHost,docker exec -it -u root jenkins apk add openjdk8
,PrzydzielonyHost,docker exec -it -u root jenkins ash
,Kontener,mvn --version
,Kontener,JAVA_HOME=/usr/lib/jvm/java-1.8-openjdk/ mvn --version
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]

Klikamy na kropkę w stage ""Build""
- wybierz z menu po prawej stronie ""Shell Script""
- Zamiast ""mvn compile"" wpisz ""JAVA_HOME=/usr/lib/jvm/java-1.8-openjdk/ mvn compile""
Zwróć uwagę na spacje, wielkość liter i powójne cudzysłowia
[na górze] klikamy ""Save""
[na środku]  ""Save & run""

Powinno samoczynnie przejść do wyników budowania, jak nie, to odświeżyć stronę
Build powinien się udać (to znaczy mieć zielony tick-mark w kolumnie status)"
,Gitea,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Jenkins - ustawianie zmiennych środowiskowych
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]

Klikamy na kropkę ""start""
- wybierz po prawej stronie ""Environment""
- plusem dodaj nową zmienną
- nazwę zmiennej nazwij `JAVA_HOME`
- a wartość to `/usr/lib/jvm/java-1.8-openjdk/`

Klikamy na kropkę ""Build""
- wybierz po prawej stronie ""Shell Script""
- Zamiast ""JAVA_HOME=/usr/lib/jvm/java-1.8-openjdk/ mvn compile"" wpisz ""mvn compile""

Zwróć uwagę na spacje, wielkość liter i powójne cudzysłowia
[na górze] klikamy ""Save""
[na środku]  ""Save & run""

Powinno samoczynnie przejść do wyników budowania, jak nie, to odświeżyć stronę"
,Jenkins,Build powinien się udać (to znaczy mieć zielony tick-mark w kolumnie status)
,Gitea,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Jenkins - uruchamianie testów jednostkowych
,Jenkins,"Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]

Klikamy na kropkę w stage ""Test"":

- wybierz z menu po prawej stronie `Shell Script`
- Zamiast `echo ""testing...""` napisz `mvn test`

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Kliknij na swojego build i przejdź do ekranu podsumowania budowania i wybierz stage ""Test"""
,Jenkins,Rozwiń krok i zobacz co tam jest napisane
,-,Jenkins - uruchamianie testów integracyjnych
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Klikamy na kropkę w stage ""Test"":

- kliknij na symbol ""plus w okręgu"" poniżej napisu ""Test"" na środku ekranu
- to spowoduje stworzenie nowego Stage, który będzie równoległy do poprzedniego
- Po prawej stronie nazwij stage: ""Test Integration""
- W menu po prawej stronie wybierz ""Add step"" -> `Shell Script`
- Wpisz `mvn verify`

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Kliknij na swojego build i przejdź do ekranu podsumowania budowania i wybierz stage ""Test"""
,Jenkins,"Rozwiń krok ""Test Integration"" i zobacz co tam jest napisane"
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Klikamy na kropkę w stage ""Test"" i zmieniamy w menu po prawej jako stage ""Test Unit""
[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Kliknij na swojego build i przejdź do ekranu podsumowania budowania i wybierz stage ""Test"""
,Gitea,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,System Operacyjny - Backup
,PrzydzielonyHost,cd /home/ && clear
,PrzydzielonyHost,tar cf /tmp/backup-$(date +%F).tar.gz /home/
,PrzydzielonyHost,du -hs /tmp/backup-*
,PrzydzielonyHost,rm /tmp/backup-*
,-,Docker - Budowanie obrazów FROM
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,git clean -fdx
,PrzydzielonyHost,git reset --hard
,PrzydzielonyHost,git pull
,PrzydzielonyHost,git status
,PrzydzielonyHost,ls -la
,PrzydzielonyHost,cat Dockerfile
,PrzydzielonyHost,"vim Dockerfile
# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"cat Dockerfile
# Na ekranie powinno się wyświetlić:

FROM alpine"
,PrzydzielonyHost,"docker build . -t myapp:0.1
# Kropka po poleceniu build, a przed parametrem `-t` jest ważna"
,PrzydzielonyHost,"docker images
# W jednej z linii powinien się wyświetlać myapp 0.1"
,PrzydzielonyHost,"docker run myapp:0.1
# Aplikacja się uruchomiła i od razu zamknęła"
,PrzydzielonyHost,docker run -it myapp:0.1
,Kontener,"ls -la /
# Zauważ, że nie ma się katalogu `/data`"
,Kontener,exit
,PrzydzielonyHost,"docker ps -a
# Zauważ, że były takie kontenery myapp w wersji 0.1"
,PrzydzielonyHost,docker run -it -v /home/src/java:/data myapp:0.1
,Kontener,"ls -la /
# Zauważ, że pojawił się katalog `/data`"
,Kontener,"ls -la /data
# Powinno wyświetlić nam pliki z kodem źródłowym z Javy"
,Kontener,cd /data
,Kontener,"mvn compile
# Powinno zwrócić /bin/sh: mvn: not found"
,Kontener,apk add maven
,Kontener,"# Build powinien się nie powieść
# No compiler is provided in this environment. Perhaps you are running on a JRE rather than a JDK?"
,Kontener,java -version
,Kontener,apk search openjdk |sort
,Kontener,"apk --print-arch

# Powinno być identyczne do uname -m
# x86_64"
,Przeglądarka,"https://pkgs.alpinelinux.org/packages
# wyszukaj `openjdk*`"
,Przeglądarka,"https://pkgs.alpinelinux.org/packages?name=openjdk8*&branch=edge&arch=x86_64
# Wybierz architekturę x86_64
# Wyszukaj `openjdk8*`"
,Przeglądarka,https://pkgs.alpinelinux.org/packages?name=openjdk*&branch=edge
,Kontener,apk add openjdk8
,Kontener,"mvn compile
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn test
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn verify
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,exit
,PrzydzielonyHost,"ls -la /home/src/java/
# Powinien się pojawić katalog target
# Katalog jest wynikiem budowania na kontenerze"
,PrzydzielonyHost,ls -la /home/src/java/target/
,PrzydzielonyHost,"git clean -fdx
# Powinno wyrzucić błąd: Permission denied"
,PrzydzielonyHost,docker run -it -v /home/src/java:/data myapp:0.1
,Kontener,"whoami
# powinno zwrócić `root`"
,Kontener,exit
,PrzydzielonyHost,sudo git clean -fdx
,-,Docker - Budowanie obrazów WORKDIR
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,docker run -it -v /home/src/java:/data myapp:0.1
,Kontener,"pwd
# Zauważ, że jesteś w głównym katalogu"
,Kontener,cd /data
,Kontener,"ls -la /
# Zauważ, że pojawił się katalog `/data`"
,Kontener,"ls -la /data
# Powinno wyświetlić pliki z kodem źródłowym Javy"
,Kontener,"mvn compile
# Powinno wyrzucić błąd: /bin/sh: mvn: not found"
,Kontener,apk add openjdk8 maven
,Kontener,mvn compile
,Kontener,exit
,PrzydzielonyHost,"vim /home/src/java/Dockerfile
# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine
WORKDIR /data

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,docker build . -t myapp:0.2
,Kontener,docker run -it -v /home/src/java:/data myapp:0.2
,Kontener,"pwd
# Zauważ, że jesteś w katalogu /data"
,Kontener,apk add openjdk8 maven
,Kontener,"mvn compile
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn test
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn verify
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,exit
,PrzydzielonyHost,"docker images
# W jednej z linii powinien się wyświetlać myapp 0.2
# Zwróć uwagę, że rozmiar nie różni się zbytnio od wersji 0.1"
,-,Docker - Budowanie obrazów RUN (instalacja zależności)
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"vim /home/src/java/Dockerfile

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine
RUN apk add openjdk8 maven
WORKDIR /data

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"cat /home/src/java/Dockerfile
# Na ekranie powinno się wyświetlić:

FROM alpine
RUN apk add openjdk8 maven
WORKDIR /data"
,PrzydzielonyHost,docker build . -t myapp:0.3
,PrzydzielonyHost,"docker images
# W jednej z linii powinien się wyświetlać myapp 0.3
# Zwróć uwagę, że rozmiar jest większy niż wersji 0.1 oraz 0.2"
,Kontener,docker run -it -v /home/src/java:/data myapp:0.3
,Kontener,"mvn compile
# ściąga z internetu wszystkie zależności
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn test
# ściąga z internetu wszystkie zależności
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn verify
# ściąga z internetu wszystkie zależności
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,exit
,-,Docker - Budowanie obrazów RUN (optymalizacja)
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,"vim Dockerfile

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine
RUN apk add --no-cache openjdk8 maven
WORKDIR /data

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,docker build . -t myapp:0.4
,PrzydzielonyHost,docker images
,-,Docker - Budowanie obrazów COPY
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,sudo git clean -fdx
,PrzydzielonyHost,"vim Dockerfile
# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine
RUN apk add --no-cache openjdk8 maven
WORKDIR /data
COPY . /data

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"cat Dockerfile
# Na ekranie powinno się wyświetlić:

FROM alpine
RUN apk add --no-cache openjdk8 maven
WORKDIR /data
COPY . /data"
,PrzydzielonyHost,docker build . -t myapp:0.5
,PrzydzielonyHost,docker run -it myapp:0.5
,Kontener,"mvn compile
# ściąga z internetu wszystkie zależności
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,exit
,PrzydzielonyHost,docker tag myapp:0.5 myapp:latest
,-,Docker - budowanie optymalizacja maven cache (podlinkowanie)
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,docker run -it -v /home/ubuntu/.m2:/root/.m2 myapp:0.5
,Kontener,"mvn compile
# Nie powinno niczego ściągać z internetu
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,exit
,Kontener,ls -la /root/.m2/repository/
,PrzydzielonyHost,docker run -it -v /home/src/java:/data -v /home/ubuntu/.m2:/root/.m2 myapp:0.5
,Kontener,"mvn compile
# Nie powinno niczego ściągać z internetu
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn test
# Nie powinno niczego ściągać z internetu
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,"mvn verify
# Nie powinno niczego ściągać z internetu
# Powinno zwrócić: BUILD SUCCESS"
,Kontener,exit
,PrzydzielonyHost,docker run -t -v /home/ubuntu/.m2:/root/.m2 myapp:0.5 mvn compile
,PrzydzielonyHost,docker run -v /home/ubuntu/.m2:/root/.m2 myapp:0.5 mvn compile
,-,Docker - Budowanie obrazów COPY .m2
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,cp -a /home/ubuntu/.m2 /home/src/java/.m2
,PrzydzielonyHost,"vim Dockerfile
# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

FROM alpine
RUN apk add openjdk8 maven
WORKDIR /data
COPY . /data
COPY .m2 /root/.m2

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
